Limit 1 b KM,Limit 1 b KMD,Limit 1 b distances,,Limit 1 y KM,Limit 1 y KMD,Limit 1 y distances,,Limit 2 b KM,Limit 2 b KMD,Limit 2 b distances,,Limit 2 y KM,Limit 2 y KMD,Limit 2 y distances
1104.046,-0.046,0.0227,,972.1477,-0.1477,0.0202,,1066.0011,-0.0011,0.0167,,689.1484,-0.1484,0.0164
1110.0345,-0.0345,0.0106,,976.1336,-0.1336,0.0347,,1062.0464,-0.0464,0.0287,,691.1735,-0.1735,0.041
1116.0354,-0.0354,0.0107,,981.1525,-0.1525,0.0166,,1069.0178,-0.0178,0.0006,,701.1152,-0.1152,0.0181
1114.0679,-0.0679,0.0431,,984.1585,-0.1585,0.011,,1070.0622,-0.0622,0.0432,,698.2051,-0.2051,0.0715
1118.0709,-0.0709,0.0456,,985.2024,-0.2024,0.0324,,1084.0125,-0.0125,0.0078,,714.1678,-0.1678,0.0325
1126.0187,-0.0187,0.0072,,992.1564,-0.1564,0.0141,,1086.0117,-0.0117,0.0089,,717.166,-0.166,0.0303
1126.0166,-0.0166,0.0093,,994.1397,-0.1397,0.0309,,1101.0243,-0.0243,0.0016,,719.2162,-0.2162,0.0799
1132.0876,-0.0876,0.0604,,1000.155,-0.155,0.0165,,1097.0659,-0.0659,0.0434,,736.1361,-0.1361,0.0017
1144.0269,-0.0269,0.0014,,1005.1497,-0.1497,0.0224,,1104.046,-0.046,0.0227,,736.1392,-0.1392,0.0014
1150.0381,-0.0381,0.0089,,1004.1965,-0.1965,0.0241,,1110.0345,-0.0345,0.0106,,741.1091,-0.1091,0.0291
1153.0302,-0.0302,0.0006,,1011.1441,-0.1441,0.0287,,1116.0354,-0.0354,0.0107,,749.0621,-0.0621,0.0768
1155.0379,-0.0379,0.008,,1030.1469,-0.1469,0.0283,,1114.0679,-0.0679,0.0431,,748.1698,-0.1698,0.0302
1163.9898,0.0102,0.0409,,1025.1898,-0.1898,0.0149,,1118.0709,-0.0709,0.0456,,754.139,-0.139,0.0012
1159.0424,-0.0424,0.012,,1027.1793,-0.1793,0.0042,,1126.0187,-0.0187,0.0072,,756.2079,-0.2079,0.0669
1156.0779,-0.0779,0.0475,,1028.1847,-0.1847,0.0094,,1126.0166,-0.0166,0.0093,,791.2241,-0.2241,0.0786
1171.0251,-0.0251,0.0067,,1035.1476,-0.1476,0.0283,,1132.0876,-0.0876,0.0604,,809.0987,-0.0987,0.0481
1173.04,-0.04,0.0078,,1043.1537,-0.1537,0.0233,,1144.0269,-0.0269,0.0014,,811.1587,-0.1587,0.0112
1180.0264,-0.0264,0.0066,,1044.1771,-0.1771,0.0001,,1150.0381,-0.0381,0.0089,,824.1472,-0.1472,0.0019
1181.0326,-0.0326,0.0006,,1049.1566,-0.1566,0.0211,,1153.0302,-0.0302,0.0006,,851.1238,-0.1238,0.0285
1182.0233,-0.0233,0.0099,,1049.1596,-0.1596,0.0181,,1155.0379,-0.0379,0.008,,851.1297,-0.1297,0.0227
1184.0397,-0.0397,0.006,,1055.157,-0.157,0.0215,,1163.9898,0.0102,0.0409,,864.153,-0.153,0.0012
